node_id,deg_in,deg_out,deg_total
0,10,2,12
1,0,2,2
2,12,10,22
3,1,1,2
4,19,4,23
5,7,20,27
6,14,2,16
7,9,6,15
8,7,11,18
9,1,16,17
10,10,3,13
11,0,34,34
12,16,2,18
13,0,16,16
14,4,21,25
15,7,19,26
16,1,30,31
17,4,26,30
18,1,26,27
19,29,0,29
20,0,30,30
21,25,26,51
22,10,4,14
23,14,5,19
24,8,2,10
25,9,2,11
26,9,14,23
27,7,4,11
28,7,16,23
29,1,30,31
30,25,9,34
31,1,20,21
32,17,2,19
33,1,48,49
34,10,2,12
35,26,24,50
36,16,6,22
37,23,11,34
38,1,44,45
39,1,45,46
40,11,16,27
41,1,1,2
42,15,63,78
43,6,3,9
44,7,2,9
45,14,7,21
46,11,4,15
47,15,11,26
48,1,8,9
49,1,6,7
50,31,89,120
51,12,10,22
52,1,19,20
53,16,8,24
54,1,26,27
55,25,2,27
56,1,7,8
57,8,11,19
58,1,8,9
59,24,16,40
60,10,5,15
61,20,40,60
62,16,7,23
63,1,20,21
64,1,6,7
65,1,18,19
66,16,5,21
67,4,2,6
68,21,11,32
69,1,14,15
70,4,2,6
71,17,9,26
72,23,7,30
73,1,10,11
74,1,28,29
75,1,25,26
76,1,6,7
77,8,4,12
78,17,31,48
79,10,13,23
80,14,4,18
81,20,4,24
82,1,6,7
83,1,0,1
84,5,2,7
85,10,3,13
86,14,19,33
87,1,16,17
88,7,7,14
89,2,15,17
90,6,2,8
91,5,7,12
92,19,0,19
93,18,65,83
94,7,1,8
95,9,23,32
96,34,9,43
97,9,34,43
98,22,13,35
99,9,5,14
100,86,42,128
101,8,4,12
102,8,5,13
103,8,2,10
104,5,15,20
105,12,2,14
106,9,2,11
107,1,18,19
108,15,4,19
109,6,3,9
110,1,8,9
111,16,2,18
112,1,6,7
113,22,1,23
114,9,1,10
115,5,3,8
116,21,21,42
117,26,106,132
118,8,112,120
119,20,74,94
120,2,88,90
121,21,59,80
122,8,57,65
123,16,78,94
124,15,83,98
125,2,73,75
126,22,26,48
127,29,74,103
128,11,116,127
129,2,49,51
130,27,211,238
131,1,107,108
132,11,63,74
133,14,87,101
134,14,100,114
135,545,101368,101913
136,26,139,165
137,26,65,91
138,2,78,80
139,16,166,182
140,17,77,94
141,28,58,86
142,38,118,156
143,27,85,112
144,12,122,134
145,9,101,110
146,3,99,102
147,1,77,78
148,12,79,91
149,14,139,153
150,20,103,123
151,9,91,100
152,5,14,19
153,1,25,26
154,1,25,26
155,15,28,43
156,22,34,56
157,17,101,118
158,1,37,38
159,21,88,109
160,15,124,139
161,15,80,95
162,22,51,73
163,15,31,46
164,2,32,34
165,2,2,4
166,17,126,143
167,15,86,101
168,17,106,123
169,2,17,19
170,9,30,39
171,14,107,121
172,18,61,79
173,13,62,75
174,1,161,162
175,4,0,4
176,16,75,91
177,13,96,109
178,5,160,165
179,28,16,44
180,12,53,65
181,22,59,81
182,0,1,1
183,19,84,103
184,17,72,89
185,14,63,77
186,14,43,57
187,14,29,43
188,5,37,42
189,14,25,39
190,2,22,24
191,2,21,23
192,6,19,25
193,1,1,2
194,22,61,83
195,22,37,59
196,14,147,161
197,22,1,23
198,1,1,2
199,19,41,60
200,12,79,91
201,3,14,17
202,2,5,7
203,2,1,3
204,5,2,7
205,1,109,110
206,26,44,70
207,2,13,15
208,32,2,34
209,30,16,46
210,1,76,77
211,14,28,42
212,36,110,146
213,11,56,67
214,29,67,96
215,15,61,76
216,15,83,98
217,16,80,96
218,12,57,69
219,14,69,83
220,10,96,106
221,13,85,98
222,32,125,157
223,9,40,49
224,10,110,120
225,16,60,76
226,3,87,90
227,2,9,11
228,14,4,18
229,3,8,11
230,1,14,15
231,1,10,11
232,21,1,22
233,14,103,117
234,2,19,21
235,2,3,5
236,18,78,96
237,3,6,9
238,8,32,40
239,19,107,126
240,9,18,27
241,16,89,105
242,8,33,41
243,8,131,139
244,1,27,28
245,6,56,62
246,3,6,9
247,1,1,2
248,3,16,19
249,3,12,15
250,1,149,150
251,9,0,9
252,12,121,133
253,19,71,90
254,27,66,93
255,11,30,41
256,3,55,58
257,9,107,116
258,3,22,25
259,15,7,22
260,17,46,63
261,16,135,151
262,25,88,113
263,3,79,82
264,10,50,60
265,4,35,39
266,14,70,84
267,1,32,33
268,21,31,52
269,9,38,47
270,13,16,29
271,1,1,2
272,1,7,8
273,5,21,26
274,18,93,111
275,13,12,25
276,32,77,109
277,12,84,96
278,16,51,67
279,18,45,63
280,2,45,47
281,6,32,38
282,14,57,71
283,13,90,103
284,16,104,120
285,11,47,58
286,13,68,81
287,21,66,87
288,30,57,87
289,2,69,71
290,12,65,77
291,24,35,59
292,0,2,2
293,3,32,35
294,15,2,17
295,0,1,1
296,8,11,19
297,2,40,42
298,5,20,25
299,1,99,100
300,7,38,45
301,3,2,5
302,3,28,31
303,25,117,142
304,30,73,103
305,13,72,85
306,14,52,66
307,19,29,48
308,18,121,139
309,2,30,32
310,10,48,58
311,9,79,88
312,1,20,21
313,18,139,157
314,1,1,2
315,2,9,11
316,1,1,2
317,0,2,2
318,2,12,14
319,1,1,2
320,1,10,11
321,1,2,3
322,1,1,2
323,4,3,7
324,1,1,2
325,1,48,49
326,24,22,46
327,3,19,22
328,1,1,2
329,3,2,5
330,4,14,18
331,1,1,2
332,1,1,2
333,1,1,2
334,2,1,3
335,1,1,2
336,0,2,2
337,2,1,3
338,1,1,2
339,1,1,2
340,4,2,6
341,2,2,4
342,1,1,2
343,1,1,2
344,1,1,2
345,1,1,2
346,2,1,3
347,7,3,10
348,6,10,16
349,1,3,4
350,16,2,18
351,2,2,4
352,2,14,16
353,2,2,4
354,2,4,6
355,2,16,18
356,2,2,4
357,1,1,2
358,1,1,2
359,1,30,31
360,19,10,29
361,1,31,32
362,17,1,18
363,1,74,75
364,21,2,23
365,2,1,3
366,3,3,6
367,4,2,6
368,2,1,3
369,2,2,4
370,3,2,5
371,2,4,6
372,2,45,47
373,11,12,23
374,20,63,83
375,13,17,30
376,2,12,14
377,7,17,24
378,14,21,35
379,4,20,24
380,32,62,94
381,2,3,5
382,2,21,23
383,2,10,12
384,11,29,40
385,3,10,13
386,16,12,28
387,32,60,92
388,6,17,23
389,2,18,20
390,4,20,24
391,3,9,12
392,1,27,28
393,2,13,15
394,18,33,51
395,3,27,30
396,21,59,80
397,27,83,110
398,6,64,70
399,1,9,10
400,12,16,28
401,3,9,12
402,1,1,2
403,18,59,77
404,28,66,94
405,6,110,116
406,18,1,19
407,12,43,55
408,23,82,105
409,23,124,147
410,16,90,106
411,19,103,122
412,1,1,2
413,8,115,123
414,2,6,8
415,27,82,109
416,13,95,108
417,26,83,109
418,10,98,108
419,13,82,95
420,10,69,79
421,2,26,28
422,1,1,2
423,14,20,34
424,16,105,121
425,17,55,72
426,8,113,121
427,8,80,88
428,2,15,17
429,26,10,36
430,2,13,15
431,1,1,2
432,2,2,4
433,2,10,12
434,2,2,4
435,1,1,2
436,3,2,5
437,1,1,2
438,2,3,5
439,1,1,2
440,3,2,5
441,3,2,5
442,19,32,51
443,21,74,95
444,3,5,8
445,19,10,29
446,2,2,4
447,1,1,2
448,0,1,1
449,1,14,15
450,1,1,2
451,2,2,4
452,3,28,31
453,2,2,4
454,0,1,1
455,3,0,3
456,1,19,20
457,1,1,2
458,3,8,11
459,1,1,2
460,2,2,4
461,1,20,21
462,14,1,15
463,3,14,17
464,1,33,34
465,16,31,47
466,20,65,85
467,3,15,18
468,9,3,12
469,2,14,16
470,27,45,72
471,19,70,89
472,15,45,60
473,3,29,32
474,1,95,96
475,16,27,43
476,1,10,11
477,2,2,4
478,2,5,7
479,1,1,2
480,3,3,6
481,29,1,30
482,3,3,6
483,1,2,3
484,2,2,4
485,1,1,2
486,1,2,3
487,2,3,5
488,2,16,18
489,5,111,116
490,29,1,30
491,3,2,5
492,1,4,5
493,5,14,19
494,11,87,98
495,2,24,26
496,10,26,36
497,28,114,142
498,21,28,49
499,18,49,67
500,7,73,80
501,15,65,80
502,1,1,2
503,15,34,49
504,27,45,72
505,17,91,108
506,29,87,116
507,13,91,104
508,1,33,34
509,3,8,11
510,20,120,140
511,17,46,63
512,14,96,110
513,4,73,77
514,1,3,4
515,2,30,32
516,28,50,78
517,9,56,65
518,1,1,2
519,8,25,33
520,3,19,22
521,1,37,38
522,3,39,42
523,4,2,6
524,1,7,8
525,20,0,20
526,17,67,84
527,3,58,61
528,28,132,160
529,2,20,22
530,17,61,78
531,10,67,77
532,10,76,86
533,11,107,118
534,24,104,128
535,14,70,84
536,4,6,10
537,28,145,173
538,17,87,104
539,12,88,100
540,17,16,33
541,6,7,13
542,0,101,101
543,13,9,22
544,2,31,33
545,30,34,64
546,5,131,136
547,19,4,23
548,9,37,46
549,28,45,73
550,17,56,73
551,9,9,18
552,1,9,10
553,2,18,20
554,3,17,20
555,2,2,4
556,1,92,93
557,18,24,42
558,3,11,14
559,2,18,20
560,2,22,24
561,21,68,89
562,15,74,89
563,19,27,46
564,23,78,101
565,17,69,86
566,14,120,134
567,24,106,130
568,1,1,2
569,10,29,39
570,2,6,8
571,2,24,26
572,7,1,8
573,3,20,23
574,0,1,1
575,3,14,17
576,2,2,4
577,1,1,2
578,3,33,36
579,2,1,3
580,12,32,44
581,2,12,14
582,13,42,55
583,1,115,116
584,27,2,29
585,12,86,98
586,2,6,8
587,1,1,2
588,2,4,6
589,9,12,21
590,3,15,18
591,1,15,16
592,25,109,134
593,15,36,51
594,1,1,2
595,1,1,2
596,2,30,32
597,2,31,33
598,10,12,22
599,5,5,10
600,36,57,93
601,5,37,42
602,12,68,80
603,8,73,81
604,11,92,103
605,16,29,45
606,27,102,129
607,18,90,108
608,10,15,25
609,33,50,83
610,4,14,18
611,1,9,10
612,2,2,4
613,1,1,2
614,2,10,12
615,1,1,2
616,2,1,3
617,3,2,5
618,1,1,2
619,1,1,2
620,20,59,79
621,32,119,151
622,11,72,83
623,11,101,112
624,14,86,100
625,14,70,84
626,15,46,61
627,19,80,99
628,23,87,110
629,22,116,138
630,3,38,41
631,16,6,22
632,26,2,28
633,2,1,3
634,0,1,1
635,3,14,17
636,17,48,65
637,17,87,104
638,1,1,2
639,1,1,2
640,1,9,10
641,0,1,1
642,3,2,5
643,1,1,2
644,1,1,2
645,2,2,4
646,1,2,3
647,2,14,16
648,5,10,15
649,3,2,5
650,1,106,107
651,17,1,18
652,2,14,16
653,9,1,10
654,13,11,24
655,23,37,60
656,17,27,44
657,17,48,65
658,5,34,39
659,3,9,12
660,0,1,1
661,5,26,31
